report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
150231531,2015-01-23,515 LYNHURST DR SW,ROBBERY-PEDESTRIAN,Stratford,33.74154,-84.49212
150241159,2015-01-23,1870 CAMPBELLTON RD SW,AUTO THEFT,None,33.70939,-84.44964
150241332,2015-01-24,1680 RALPH D ABERNATHY BLVD SW @WESTVIEW CEMETARY,LARCENY-FROM VEHICLE,Westview,33.74788,-84.44249999999998
150251683,2015-01-24,483 FIELDING LN SW,BURGLARY-RESIDENCE,None,33.74285,-84.48599
150250376,2015-01-25,3060 DELMAR LN NW,AUTO THEFT,Stratford,33.75483,-84.48734
150261703,2015-01-26,3156 DELMAR LN NW,AGG ASSAULT,Stratford,33.755759999999995,-84.49055
150261160,2015-01-26,3379 STONE RD SW,ROBBERY-RESIDENCE,None,33.67304,-84.50104
150261375,2015-01-23,125 BENNETT ST NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.8122,-84.39610999999998
150261221,2015-01-23,3540 N CAMP CREEK PKWY SW,BURGLARY-RESIDENCE,None,33.67051,-84.50298999999998
150270161,2015-01-27,3164 CUSHMAN CIR SW,AGG ASSAULT,None,33.748459999999994,-84.49110999999998
150291643,2015-01-01,3110 DELMAR LN NW,BURGLARY-RESIDENCE,Stratford,33.755520000000004,-84.48909
150290920,2015-01-29,691 LYNN VALLEY RD SW,BURGLARY-RESIDENCE,None,33.73661,-84.48476999999998
150292765,2015-01-29,2025 PEACHTREE RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.80958,-84.39293999999998
150292570,2015-01-15,2440 BOLTON RD NW,LARCENY-NON VEHICLE,None,33.82115,-84.45357
150291071,2015-01-28,54 PEACHTREE PARK DR NE,AUTO THEFT,Brookwood Hills,33.81296,-84.39082999999998
150292640,2015-01-10,3164 CUSHMAN CIR SW,AUTO THEFT,None,33.748979999999996,-84.49168
150290723,2015-01-29,2454 DANIEL RD,ROBBERY-PEDESTRIAN,None,33.68829,-84.51559
150292046,2015-01-29,2292 FAIRBURN RD SW,ROBBERY-PEDESTRIAN,None,33.69062,-84.51144999999998
150292061,2015-01-29,2381 FAIRBURN RD SW,ROBBERY-PEDESTRIAN,None,33.6899,-84.51205
150290429,2015-01-29,3102 MARTIN L KING JR DR SW,LARCENY-NON VEHICLE,Stratford,33.75103,-84.48831
150302857,2015-01-30,40 PEACHTREE VALLEY RD NE,AGG ASSAULT,Brookwood Hills,33.810959999999994,-84.39145
150300648,2015-01-30,1685 RALPH D ABERNATHY BLVD SW,ROBBERY-PEDESTRIAN,Westview,33.748509999999996,-84.44249999999998
150302156,2015-01-30,544 LYNHURST DR SW,ROBBERY-PEDESTRIAN,None,33.74092,-84.48784
150301448,2015-01-30,2480 NISKEY LAKES,AGG ASSAULT,None,33.687259999999995,-84.52665
150310897,2015-01-31,2069 COUNTY LINE RD,LARCENY-NON VEHICLE,None,33.69863,-84.53617
150311113,2015-01-24,249 HERMER CIR NW,LARCENY-NON VEHICLE,Stratford,33.75705,-84.48706999999997
150312426,2015-01-01,4213 PEACHTREE PARK DR NE,LARCENY-NON VEHICLE,Brookwood Hills,33.81384,-84.38965
150311447,2015-01-31,43 ALLEN TEMPLE CT NW,ROBBERY-RESIDENCE,None,33.754259999999995,-84.49101999999998
150322303,2015-02-01,3201 WESTPORT WAY SW,LARCENY-FROM VEHICLE,None,33.74434,-84.49107999999998
150331240,2015-01-31,1000 PEACHTREE PARK DR NE,BURGLARY-RESIDENCE,Brookwood Hills,33.81353,-84.38943
150330830,2015-02-01,3850 STONE RD SW,LARCENY-FROM VEHICLE,None,33.68437,-84.51104999999998
150331669,2015-02-01,3381 GREENBRIAR PKWY SW,LARCENY-NON VEHICLE,None,33.68403,-84.50216
150332235,2015-02-02,3378 GREENBRIAR PKWY SW,AGG ASSAULT,None,33.68387,-84.50203999999998
150330259,2015-02-02,3156 DELMAR LANE NW,AGG ASSAULT,Stratford,33.755759999999995,-84.49055
150331090,2015-02-02,1728 CAMPBELLTON RD SW,ROBBERY-COMMERCIAL,None,33.711,-84.44453
150341685,2015-02-03,1585 NISKEY LAKE RD SW,BURGLARY-RESIDENCE,None,33.711,-84.53526999999998
150351758,2015-02-04,1581 FAIRBURN RD SW,LARCENY-FROM VEHICLE,None,33.710359999999994,-84.50808999999998
150353015,2015-02-04,75 BENNETT ST NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81221,-84.39516
150352563,2015-02-04,54 PEACHTREE PARK DR NE,AUTO THEFT,Brookwood Hills,33.81296,-84.39082999999998
150361559,2015-02-05,125 BENNETT ST NW,LARCENY-NON VEHICLE,Brookwood Hills,33.8122,-84.39610999999998
150361291,2015-02-04,3810 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.69028,-84.51343
150371241,2015-02-04,1840 CAMPBELLTON RD SW,AUTO THEFT,None,33.709790000000005,-84.44865
150370504,2015-02-06,33 ALLEN TEMPLE CT NW,AGG ASSAULT,None,33.75415,-84.49079999999998
150381109,2015-01-31,2980 DELMAR LN NW,LARCENY-NON VEHICLE,Stratford,33.75517,-84.48480999999998
150380026,2015-02-06,3378 GREENBRIAR PKWY SW,LARCENY-FROM VEHICLE,None,33.68387,-84.50203999999998
150402793,2015-02-09,1968 PEACHTREE RD NW @PIEDMONT HOSPITAL,LARCENY-FROM VEHICLE,Brookwood Hills,33.80881,-84.3951
150402804,2015-02-09,2293 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81713,-84.38942
150411906,2015-02-07,1017 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.810140000000004,-84.42078999999998
150412933,2015-02-10,2555 BOLTON RD NW,LARCENY-FROM VEHICLE,None,33.82028,-84.45188
150410478,2015-02-09,1972 COUNTY LINE RD SW,AUTO THEFT,None,33.7016,-84.53586999999997
150412660,2015-02-10,3048 MIDDLETON RD NW,AGG ASSAULT,Stratford,33.75238,-84.48977999999998
150423131,2015-02-11,2171 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81347,-84.39228
150433012,2015-02-12,2171 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.81347,-84.39228
150442783,2015-02-13,3175 MIDDLETON RD NW,AGG ASSAULT,Stratford,33.751909999999995,-84.49115999999998
150440696,2015-02-13,1209 COLLIER RD NW,ROBBERY-PEDESTRIAN,Ellsworth Park,33.811609999999995,-84.42570999999998
150441048,2015-02-13,2325 MARIETTA BLVD NW,ROBBERY-PEDESTRIAN,None,33.82065,-84.45274
150450835,2015-02-14,2089 COUNTY LINE RD SW,LARCENY-NON VEHICLE,None,33.698,-84.536
150450354,2015-02-13,2110 PEACHTREE RD NW ,AUTO THEFT,Brookwood Hills,33.81203,-84.39274
150462155,2015-02-15,2980 DELMAR LN NW,ROBBERY-PEDESTRIAN,Stratford,33.75517,-84.48480999999998
150462435,2015-02-15,2107 DEFOORS FERRY RD NW,LARCENY-FROM VEHICLE,Westover Plantation,33.81265,-84.42536
150461043,2015-02-13,1660 STANTON RD SW,BURGLARY-RESIDENCE,None,33.70988,-84.44360999999998
150471098,2015-02-16,3150 MIDDLETON RD NW,AUTO THEFT,Stratford,33.7519,-84.49057999999998
150481171,2015-02-01,3280 NORTHSIDE PKWY NW,AUTO THEFT,None,33.844809999999995,-84.42601999999998
150480014,2015-02-17,500 10TH ST NE,LARCENY-FROM VEHICLE,None,33.781859999999995,-84.37299999999998
150490732,2015-02-17,3280 NORTHSIDE PKWY NW,LARCENY-FROM VEHICLE,None,33.84302,-84.42631999999998
150490943,2015-02-13,1722 CAMPBELLTON RD SW,LARCENY-FROM VEHICLE,None,33.71107,-84.44410999999998
150491863,2015-02-18,1968 PEACHTREE RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.81,-84.39583
150500385,2015-02-19,1209 COLLIER RD NW,AUTO THEFT,Ellsworth Park,33.811609999999995,-84.42570999999998
150522010,2015-02-13,3280 NORTHSIDE PKWY NW,LARCENY-NON VEHICLE,None,33.844809999999995,-84.42601999999998
150521495,2015-02-21,1680 RALPH D ABERNATHY BLVD SW @WESTVIEW CEMETARY,LARCENY-FROM VEHICLE,Westview,33.74787,-84.44242
150521166,2015-02-20,2788 DEFOORS FERRY RD NW ,BURGLARY-NONRES,Westover Plantation,33.82098,-84.44691999999998
150531748,2015-02-22,29 HOWELL MILL PLANTATI NW,BURGLARY-RESIDENCE,None,33.84023,-84.42471
150541780,2015-02-23,3049 MIDDLETON RD NW,AGG ASSAULT,None,33.75389000000001,-84.48959
150541287,2015-02-20,2025 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.80958,-84.39293999999998
150551741,2015-02-24,95 COLLIER RD NW,LARCENY-FROM VEHICLE,Brookwood Hills,33.8082,-84.39681999999998
150552240,2015-02-22,2025 PEACHTREE RD NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.80958,-84.39293999999998
150570281,2015-02-26,1925 NISKEY LAKE RD SW @APS BUNCHE MS,BURGLARY-NONRES,None,33.70106,-84.53062
150572957,2015-02-26,1798 HADLOCK ST SW,AGG ASSAULT,None,33.70615,-84.44611
150582681,2015-02-27,2980 DELMAR LN NW,LARCENY-NON VEHICLE,Stratford,33.75509,-84.48491
150581686,2015-02-26,294 BOULDER PARK DRIVE SW,LARCENY-FROM VEHICLE,None,33.75087,-84.4957
150581847,2015-02-27,3280 NORTHSIDE PKWY NW,BURGLARY-RESIDENCE,None,33.844809999999995,-84.42601999999998
150582701,2015-02-27,1631 STANTON RD SW,BURGLARY-RESIDENCE,None,33.71076,-84.44379999999998
150611193,2015-02-27,3280 NORTHSIDE PKWY NW,BURGLARY-RESIDENCE,None,33.844809999999995,-84.42601999999998
